Day,Date,From,To,Station,Programme,Genre,AR,Viewers,Share
Sun,05/06/2016,1631,1700,VUZU,Dineo's Diary -R,Real,0.2,67512,1.1
Sun,26/06/2016,2056,2100,VUZU,Epk:Fast & Furious 7,Docu,0.2,62546,0.7
Mon,20/06/2016,1830,1831,VUZU,Vuzu Activity,Maga,0.2,60590,0.2
Wed,22/06/2016,1900,1926,VUZU,Blackish,Sitc,0.2,58549,0.4
Sun,26/06/2016,2050,2056,VUZU,Epk:Trash,Docu,0.2,56774,0.7
Sun,26/06/2016,2100,2157,VUZU,The X Factor,Real,0.2,55063,0.8
Sun,05/06/2016,2055,2100,VUZU,V-Entertainment Gossip,Vari,0.2,51722,0.6
Fri,03/06/2016,1929,1956,VUZU,Dineo's Diary,Real,0.1,45965,0.4
Sun,19/06/2016,1630,1725,VUZU,Bachelor in Paradise - R,Real,0.1,45513,0.6
Tue,21/06/2016,1758,1759,VUZU,Epk:Bad Neighbours 2,Docu,0.1,45665,0.5
Thur,30/06/2016,1700,1725,VUZU,The Game (Sitcom),Sitc,0.1,43911,0.8
Thur,30/06/2016,1657,1700,VUZU,Epk:Fury,Docu,0.1,42336,0.7
Fri,24/06/2016,2135,2203,VUZU,Ballers,Dram,0.1,41629,0.6
Sun,05/06/2016,1701,1754,VUZU,Bachelor in Paradise,Movi,0.1,36240,0.5
Fri,17/06/2016,2159,2230,VUZU,Ballers -R,Dram,0.1,35056,0.6
Sun,12/06/2016,2152,2157,VUZU,Epk:Avengers,Docu,0.1,35058,0.5
Thur,30/06/2016,1758,1758,VUZU,Epk:the Jungle Book,Docu,0.1,33880,0.5
Sat,25/06/2016,2000,2055,VUZU,The Real Housewives of Atlanta,Real,0.1,31943,0.3
Fri,17/06/2016,1729,1730,VUZU,Epk:the Road to Fast & Furious 7,Docu,0.1,31430,0.5
