Day Date From To Station ProgrammeTitle Genre AR Viewers Share,"","","","","","","","",""
Sun,27/03/2016,2105,2237,MZAN,Relentless Justice,Movi,0.5,163812,2.8
"","","","","","","","","",""
Day Date From To Station ProgrammeTitle Genre AR Viewers Share,"","","","","","","","",""
Tue,22/03/2016,2031,2102,S1,Uzalo,Dram,23.9,8029500,64.5
Tue,22/03/2016,2001,2030,S1,Generations the Legacy,Soap,23.7,7960094,66.3
Tue,22/03/2016,1830,1900,S1,Skeem Saam,Dram,19.3,6499423,60.6
Thur,31/03/2016,2033,2103,S1,Mfolozi Street,Dram,16.2,5445150,47.4
Tue,08/03/2016,1828,1832,S1,Vodacom Yebo Millionaires,Quiz,14.9,5003915,55.1
Tue,29/03/2016,1906,2105,S1,Afcon 2017 Qualifier:South Africa vs Cam,Spor,13.6,4586565,40.8
Tue,29/03/2016,1832,1851,S1,Xhosa News,News,13.4,4505067,44.2
Fri,18/03/2016,2031,2100,S1,Jab,Dram,12.8,4302750,41.7
Fri,04/03/2016,1830,1900,S1,Skeem Saam -R,Dram,12.6,4237708,53.6
Mon,28/03/2016,1901,1930,S1,Zulu News,News,12.2,4096442,36.1
Thur,03/03/2016,1935,2005,S1,Zaziwa,Vari,12.1,4080057,40.2
Mon,14/03/2016,1931,2001,S1,Ses Top La,Sitc,12,4036902,36.2
Tue,29/03/2016,1852,1906,S1,Soccer Build- up,Spor,12,4036473,39.2
Tue,08/03/2016,1932,2003,S1,Selimathunzi,Vari,11.7,3935911,36.8
Tue,22/03/2016,1800,1826,S1,Nyan Nyan,Real,9.6,3217086,40.7
Sat,12/03/2016,1932,2002,S1,Real Goboza,Maga,9.5,3204354,34.8
Fri,18/03/2016,1932,2000,S1,Live Amp,Musi,8.9,2983505,30.6
Mon,21/03/2016,1800,1830,S1,Now or Never,Docu,8,2693795,36
Sat,12/03/2016,2015,2225,S1,Absa Premiership Orlando Pirates vs Cos,Spor,7.9,2649668,34.2
Wed,09/03/2016,1800,1830,S1,Mokapelo,Real,7.7,2592232,33.9
Day Date From To Station ProgrammeTitle Genre AR Viewers Share,"","","","","","","","",""
Thur,31/03/2016,2101,2132,S2,Muvhango,Dram,18.8,6316533,57.4
Wed,23/03/2016,2059,2104,S2,Lotto Draw Live,Quiz,12.8,4313542,38.3
Thur,03/03/2016,2130,2200,S2,Speak Out,Actu,8.4,2817584,36.5
Mon,28/03/2016,2130,2159,S2,Abomzala -R,Sitc,7.7,2579156,32
Tue,29/03/2016,1828,1900,S2,7De Laan,Soap,7.2,2421171,23.4
Fri,04/03/2016,2130,2202,S2,Gaabo Motho,Dram,7.1,2379860,31.5
Mon,07/03/2016,2129,2158,S2,Abo Mzala -R,Sitc,6.6,2227712,30.8
Sun,27/03/2016,1929,2000,S2,Skwizas,Sitc,6.1,2065900,21.7
Sun,20/03/2016,1929,2223,S2,Saftas Awards,Vari,5.3,1772898,21.5
Tue,29/03/2016,1900,1931,S2,Nuus,News,4.8,1602941,14.4
Tue,01/03/2016,2130,2159,S2,Visionaries Lounge,Maga,4.5,1529760,21.9
Sun,20/03/2016,1631,1701,S2,7De Laan -O,Soap,4.4,1469945,23
Wed,02/03/2016,2136,2205,S2,90 Plein Street,Dram,4.3,1457880,24.9
Tue,08/03/2016,1601,1700,S2,Hectic Nine - 9,Yent,4.1,1376512,27.1
Tue,22/03/2016,2131,2229,S2,Athletics Alive,Spor,4,1357149,23.6
Tue,29/03/2016,2002,2103,S2,Geraamtes in Die Kas,Dram,4,1331542,12.3
Thur,17/03/2016,1800,1829,S2,Ses/Tsw/Sep News,News,3.9,1302074,17.2
Tue,08/03/2016,2131,2258,S2,National Teaching Award,Educ,3.8,1281266,26.5
Fri,18/03/2016,2131,2402,S2,The Tko,Spor,3.6,1213711,25.6
Day Date From To Station ProgrammeTitle Genre AR Viewers Share,"","","","","","","","",""
Thur,10/03/2016,1800,1828,S3,The Bold and the Beautiful,Soap,5,1679535,23.1
